X,Y,X,Y,id,Name,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
210376.136064493,2681823.62644346,120.609814560694,24.2414932087909,1,,40,0,0,40,0.13602210471908,26.93632193511351
210541.500648395,2682170.8920695,120.611433392625,24.2446328649102,1,,41,0,0,41,0.13955453410490,24.71442994283813
210673.792315467,2682522.29181014,120.612726503174,24.24780900217,1,,42,0,0,42,0.14298381723475,23.38901724943325
210822.620440826,2682873.69155077,120.614182524501,24.2509855409789,1,,43,0,0,43,0.14647815507074,28.94598089855378
211012.789712293,2683187.88426005,120.616046755002,24.2538271484818,1,,44,0,0,44,0.14987669719330,40.51845018659605
211281.507160967,2683452.46759417,120.618685964322,24.2562227474686,1,,45,0,0,45,0.15344100923674,52.05417190184736
211579.163411937,2683667.44155315,120.621611598746,24.2581710836197,1,,46,0,0,46,0.15695602709383,58.53505015278378
211905.758464953,2683865.87905374,120.624822764873,24.2599707584245,1,,47,0,0,47,0.16063711623992,62.15614601426336
212228.219403435,2684039.51186677,120.627993958388,24.2615463030761,1,,48,0,0,48,0.16417813435026,65.72366984711012
212575.485029428,2684192.4741068,120.631410063962,24.2629357382378,1,,49,0,0,49,0.16786599380588,62.14644326386598
212885.543624173,2684415.71629498,120.634457983738,24.2649587802845,1,,50,0,0,50,0.17152420567503,54.86142959786012
213166.663416671,2684643.09259774,120.637220874774,24.2670184094199,1,,51,0,0,51,0.17497031058538,53.83120737636500
213464.319667552,2684874.6030151,120.6401466211,24.2691157016355,1,,52,0,0,52,0.17857011977505,55.02190693226946
213799.182949824,2685122.64989084,120.643438513367,24.2713631069626,1,,53,0,0,53,0.18255601809294,55.92271568634894
214117.509773671,2685354.1603082,120.646568057908,24.2734607541072,1,,54,0,0,54,0.18632353353136,54.64299203186596
214406.897795369,2685589.80484016,120.649412563996,24.2755950076417,1,,55,0,0,55,0.18987969059126,53.93197022151970
214708.688160882,2685821.31525751,120.652379428715,24.2776921605713,1,,56,0,0,56,0.19351291734849,54.68672230205712
214960.869151176,2686015.61864351,120.654858643875,24.2794522020112,1,,57,0,0,57,0.19655335377801,64.09513343911306
215349.475923148,2686139.64208139,120.658683440285,24.2805806632085,1,,58,0,0,58,0.20054114668307,72.71663311924134
215676.070976219,2686255.39729007,120.661897674566,24.2816330167,1,,59,0,0,59,0.20392326878071,64.91971588223838
216010.934258524,2686482.77359284,120.665190764766,24.2836933188199,1,,60,0,0,60,0.20780776204074,59.15999290161222
216151.494154754,2686569.58999935,120.666573284702,24.2844802355264,1,,61,0,0,61,0.20939854778282,83.24224616447634
216515.296239186,2686453.83479067,120.670159591589,24.2834428905273,1,,62,0,0,62,0.21313186825315,105.74820435655054
216870.83009437,2686346.34781118,120.673664206078,24.2824799399469,1,,63,0,0,63,0.21676636911849,103.92134691245207
217209.82749129,2686263.66551926,120.677005314632,24.2817405258672,1,,64,0,0,64,0.22018831878883,101.93514639122510
217507.483742104,2686197.51968573,120.679938793717,24.2811494903747,1,,65,0,0,65,0.22318074631510,100.97886843870224
217788.603534645,2686139.6420814,120.68270917439,24.2806327127522,1,,66,0,0,66,0.22599891383719,98.70748904324302
218036.650410397,2686106.56916463,120.685153209264,24.2803391742125,1,,67,0,0,67,0.22846051318300,97.23172513606541
218259.892598557,2686073.49624786,120.687352904544,24.2800450939126,1,,68,0,0,68,0.23067977940138,95.76529552286334
218474.86655759,2686056.95978947,120.689470784295,24.2799001248845,1,,69,0,0,69,0.23280261492410,94.80723916391136
218698.108745723,2686032.15510191,120.691670282596,24.2796806367131,1,,70,0,0,70,0.23501303747079,92.79141888829891
218896.546246333,2686032.15510191,120.693624908639,24.279684588841,1,,71,0,0,71,0.23696766750913,91.02564016693341
219086.71551772,2686023.88687271,120.695498270301,24.2796136978835,1,,72,0,0,72,0.23884237000421,93.04300459428345
219301.689476707,2686007.35041432,120.697616134993,24.2794686151957,1,,73,0,0,73,0.24096519826846,91.90269088435603
219558.004581591,2686007.35041433,120.700140857582,24.2794736164984,1,,74,0,0,74,0.24348992581159,90.73382632116537
219814.319686603,2685999.08218514,120.702665754643,24.2794039209888,1,,75,0,0,75,0.24601578460192,90.73475507674698
220045.830103963,2685999.08218514,120.704946149107,24.2794083643642,1,,76,0,0,76,0.24829618339494,90.54526718119153
220376.559271562,2685990.81395595,120.708204026984,24.2793399977836,1,,77,0,0,77,0.25155477853005,90.54636476659191
220665.947293317,2685990.81395595,120.711054520139,24.2793454427918,1,,78,0,0,78,0.25440527688502,91.48094318145530
220938.798856606,2685974.27749756,120.713742463363,24.2792012177878,1,,79,0,0,79,0.25709708661616,92.49149977741718
221153.772815529,2685966.00926837,120.715860137288,24.2791305356141,1,,80,0,0,80,0.25921593980235,90.90249224349085
221377.015003723,2685966.00926837,120.718059086947,24.2791346299777,1,,81,0,0,81,0.26141489327288,93.06372687276389
221649.866567048,2685932.9363516,120.72074734561,24.2788409709864,1,,82,0,0,82,0.26411914367583,101.86601329061271
221864.840526058,2685858.52228888,120.722866306533,24.2781729509512,1,,83,0,0,83,0.26634091012605,101.96515260002442
222129.423860172,2685825.44937211,120.725473092953,24.2778790595747,1,,84,0,0,84,0.26896421102019,94.21460495263013
222336.129589973,2685817.18114293,120.727509298408,24.2778080677521,1,,85,0,0,85,0.27100165365577,91.74286392172044
222608.981153315,2685808.91291374,120.730197036123,24.2777382063765,1,,86,0,0,86,0.27369029915772,92.50247775991237
222848.759799817,2685792.37645535,120.732559160677,24.2775930696017,1,,87,0,0,87,0.27605687835444,92.64536285213303
223080.270217188,2685784.10822615,120.734839683645,24.2775224091477,1,,88,0,0,88,0.27833849574280,90.01719901199290
223344.853551326,2685792.37645535,120.737445664136,24.2776015876855,1,,89,0,0,89,0.28094567881263,86.76848856272824
223625.973343796,2685817.18114293,120.740214228274,24.2778303102888,1,,90,0,0,90,0.28372367474813,84.10564932395458
223874.020219588,2685850.25405969,120.742656884148,24.2781330865644,1,,91,0,0,91,0.28618502421326,79.22056822135509
224080.725949396,2685908.13166403,120.744691892718,24.2786591057783,1,,92,0,0,92,0.28828691766740,80.32383009498680
224353.577512714,2685932.9363516,120.747379051417,24.2788875613548,1,,93,0,0,93,0.29098377024474,92.71700133746791
224601.624388402,2685883.32697646,120.749823207807,24.2784436709484,1,,94,0,0,94,0.29346790775188,105.43827138324536
224882.744180962,2685767.57176777,120.752594272694,24.2774030299457,1,,95,0,0,95,0.29642793043785,107.17629297294197
225097.718139868,2685709.69416344,120.754712760886,24.2768838747248,1,,96,0,0,96,0.29860910314217,86.97130781505362
225287.887411266,2685784.10822616,120.756584632801,24.2775587826207,1,,97,0,0,97,0.30059892854515,72.04779945559778
225486.32491187,2685846.1199451,120.758538178642,24.2781218140927,1,,98,0,0,98,0.30263199169983,131.33621886365066
225457.386109725,2685643.54832991,120.758256592325,24.2762923075566,1,,99,0,0,99,0.30448304140732,211.41831049891871
225263.08272373,2685490.58608986,120.756345362239,24.2749081300473,1,,100,0,0,100,0.30684286085357,226.75015070680456
225134.925171225,2685321.08739144,120.755085973899,24.2733756689616,1,,101,0,0,101,0.30882641724788,213.29323967613331
225027.438191742,2685093.71108867,120.754031217128,24.2713209399383,1,,102,0,0,102,0.31113605427670,206.31695570419856
224924.085326868,2684858.06655672,120.753017356588,24.2691916141638,1,,103,0,0,103,0.31349443114416,212.21299111267109
224791.793659837,2684680.2996291,120.751717491403,24.267584403355,1,,104,0,0,104,0.31556150058762,205.47399101294923
224746.318399304,2684448.78921174,120.751273664585,24.2654933227081,1,,105,0,0,105,0.31769916298296,208.91041034598305
224523.07621111,2684213.14467978,120.749079120635,24.2633620341285,1,,106,0,0,106,0.32075831550558,228.72340596884061
224374.248085683,2684084.98712732,120.747615616087,24.2622024511507,1,,107,0,0,107,0.32262552686080,219.33547111061131
224275.029335297,2683874.14728293,120.746642205166,24.2602971153787,1,,108,0,0,108,0.32476511402268,213.29277173550960
224105.530636927,2683650.90509477,120.744976895214,24.2582786312337,1,,109,0,0,109,0.32738189362397,200.39893284583027
224101.396522305,2683464.86993796,120.744939531343,24.2565988172893,1,,110,0,0,110,0.32906212305668,170.08356643976978
224179.944699606,2683241.62774979,120.745717109696,24.254584416969,1,,111,0,0,111,0.33122139069775,186.82745385831433
224084.860063991,2683092.79962434,120.744783379625,24.2532390517081,1,,112,0,0,112,0.33285902909874,220.25302445923575
223944.300167735,2682943.97149889,120.743401829394,24.2518929259753,1,,113,0,0,113,0.33478794991857,216.70064955587756
223886.422563377,2682824.08217563,120.742834028245,24.2508094601264,1,,114,0,0,114,0.33601118186324,219.75151125505647
223716.923864901,2682679.38816477,120.741167465714,24.2495001598293,1,,115,0,0,115,0.33813054448818,231.84530674407665
223547.425166529,2682534.69415393,120.739500937352,24.2481908413406,1,,116,0,0,116,0.34024989148383,235.15281309850451
223373.792353491,2682418.93894524,120.737793196481,24.2471427284981,1,,117,0,0,117,0.34225361786545,241.04098208262852
223212.561884194,2682332.12253873,120.736207077392,24.2463561023354,1,,118,0,0,118,0.34402408517170,249.64478374870853
223018.258498203,2682278.37904899,120.734294672427,24.2458675130507,1,,119,0,0,119,0.34599791703878,224.15225531594604
222972.783237646,2682059.27097542,120.733850969894,24.2438883617928,1,,120,0,0,120,0.34802619503736,194.65234343137743
222919.039747998,2681864.96758942,120.733325395017,24.2421330325348,1,,121,0,0,121,0.34985851863222,193.16004890068621
222894.235060352,2681707.87123478,120.73308409658,24.2407141507781,1,,122,0,0,122,0.35129777204110,180.88478755259675
222919.039747934,2681509.43373419,120.733332085098,24.2389228477483,1,,123,0,0,123,0.35310615940268,167.03038358159290
222997.587925302,2681244.85040007,120.734110510875,24.2365352252015,1,,124,0,0,124,0.35561747143340,166.07708810930802
223038.929071224,2680980.26706593,120.73452254395,24.2341469591743,1,,125,0,0,125,0.35804101963212,167.42206278829832
223092.672560992,2680765.29310696,120.735055752923,24.2322068370582,1,,126,0,0,126,0.36005307967949,183.51268810375657
223014.124383616,2680558.58737717,120.734286205123,24.230339100111,1,,127,0,0,127,0.36207314035168,197.89271737626501
222960.380893942,2680314.67461603,120.733761609439,24.2281358361737,1,,128,0,0,128,0.36433799633169,185.95780603086561
222964.515008462,2680124.50534462,120.733805884383,24.2264188287102,1,,129,0,0,129,0.36605557453962,179.85259757153733
222960.380893905,2679926.06784403,120.733768905074,24.2246270229023,1,,130,0,0,130,0.36784776189664,190.76158960954197
222906.637404177,2679768.97148939,120.733242707897,24.223207639962,1,,131,0,0,131,0.36936154239605,200.85839187374151
222852.893914401,2679620.14336394,120.732716366435,24.2218629106804,1,,132,0,0,132,0.37080561032204,181.89880430613127
222914.905633348,2679405.16940497,120.733330954635,24.2199229341244,1,,133,0,0,133,0.37284061098384,180.56038132141617
222852.893914421,2679206.73190437,120.732724155895,24.2181301277936,1,,134,0,0,134,0.37473332312534,213.03271967744996
222733.004591166,2679086.8425811,120.731546068661,24.2170455444723,1,,135,0,0,135,0.37633463836985,211.24774613578168
222683.395215997,2678888.4050805,120.731061411212,24.2152529463397,1,,136,0,0,136,0.37819159849531,188.86152355090175
222675.126986769,2678698.23580909,120.73098361471,24.2135357214393,1,,137,0,0,137,0.37991058472394,165.27700698472691
222757.809278736,2678553.54179825,120.731800358801,24.2122306817819,1,,138,0,0,138,0.38145012992202,167.08374991559003
222733.004591175,2678309.6290371,120.731560772348,24.2100279073655,1,,139,0,0,139,0.38366589543262,186.49755653132027
222712.334018195,2678123.59388029,120.731360796931,24.2083477941422,1,,140,0,0,140,0.38535786783498,174.84639744525987
222770.211622494,2677916.8881505,120.731934484293,24.2064824034134,1,,141,0,0,141,0.38730948248981,172.15426797566104
222766.077507879,2677747.38945208,120.73189698747,24.2049518880505,1,,142,0,0,142,0.38884045711005,192.10143083631863
222687.529330545,2677544.81783688,120.731127567194,24.2031214582037,1,,143,0,0,143,0.39082602528687,198.59246918952789
222629.651726202,2677300.90507575,120.730562436068,24.2009181050189,1,,144,0,0,144,0.39310069854843,189.64491562150852
222608.981153253,2677044.58997081,120.73036382129,24.1986034139959,1,,145,0,0,145,0.39542389513114,190.60150851886044
222567.640007351,2676891.62773077,120.729959772992,24.1972215600305,1,,146,0,0,146,0.39686360878645,214.28770728328317
